Citation 1,Citation 2,Conection Type,Text 1,Text 2,Category 1,Category 2
"Tur, Even HaEzer 37:1","Prisha, Even HaEzer 37:8:1",commentary,"Tur, Even HaEzer","Prisha, Even HaEzer",Halakhah,Halakhah
"Tur, Even HaEzer 37:1","Prisha, Even HaEzer 37:9:1",commentary,"Tur, Even HaEzer","Prisha, Even HaEzer",Halakhah,Halakhah
"Tur, Even HaEzer 37:1","Prisha, Even HaEzer 37:10:1",commentary,"Tur, Even HaEzer","Prisha, Even HaEzer",Halakhah,Halakhah
"Tur, Even HaEzer 37:1","Prisha, Even HaEzer 37:11:1",commentary,"Tur, Even HaEzer","Prisha, Even HaEzer",Halakhah,Halakhah
"Tur, Even HaEzer 37:1","Prisha, Even HaEzer 37:12:1",commentary,"Tur, Even HaEzer","Prisha, Even HaEzer",Halakhah,Halakhah
"Tur, Even HaEzer 37:1","Prisha, Even HaEzer 37:13:1",commentary,"Tur, Even HaEzer","Prisha, Even HaEzer",Halakhah,Halakhah
"Tur, Even HaEzer 37:1","Prisha, Even HaEzer 37:14:1",commentary,"Tur, Even HaEzer","Prisha, Even HaEzer",Halakhah,Halakhah
"Tur, Even HaEzer 37:1","Prisha, Even HaEzer 37:15:1",commentary,"Tur, Even HaEzer","Prisha, Even HaEzer",Halakhah,Halakhah
"Tur, Even HaEzer 37:1","Prisha, Even HaEzer 37:16:1",commentary,"Tur, Even HaEzer","Prisha, Even HaEzer",Halakhah,Halakhah
"Tur, Even HaEzer 37:1","Prisha, Even HaEzer 37:17:1",commentary,"Tur, Even HaEzer","Prisha, Even HaEzer",Halakhah,Halakhah
"Tur, Even HaEzer 37:1","Prisha, Even HaEzer 37:18:1",commentary,"Tur, Even HaEzer","Prisha, Even HaEzer",Halakhah,Halakhah
"Tur, Even HaEzer 37:1","Prisha, Even HaEzer 37:19:1",commentary,"Tur, Even HaEzer","Prisha, Even HaEzer",Halakhah,Halakhah
"Tur, Even HaEzer 37:1","Prisha, Even HaEzer 37:20:1",commentary,"Tur, Even HaEzer","Prisha, Even HaEzer",Halakhah,Halakhah
"Tur, Even HaEzer 37:1","Prisha, Even HaEzer 37:21:1",commentary,"Tur, Even HaEzer","Prisha, Even HaEzer",Halakhah,Halakhah
"Tur, Even HaEzer 37:1","Prisha, Even HaEzer 37:22:1",commentary,"Tur, Even HaEzer","Prisha, Even HaEzer",Halakhah,Halakhah
"Tur, Even HaEzer 37:1","Prisha, Even HaEzer 37:23:1",commentary,"Tur, Even HaEzer","Prisha, Even HaEzer",Halakhah,Halakhah
"Tur, Even HaEzer 37:1","Prisha, Even HaEzer 37:24:1",commentary,"Tur, Even HaEzer","Prisha, Even HaEzer",Halakhah,Halakhah
"Tur, Even HaEzer 37:1","Prisha, Even HaEzer 37:25:1",commentary,"Tur, Even HaEzer","Prisha, Even HaEzer",Halakhah,Halakhah
"Tur, Even HaEzer 37:1","Prisha, Even HaEzer 37:26:1",commentary,"Tur, Even HaEzer","Prisha, Even HaEzer",Halakhah,Halakhah
"Tur, Even HaEzer 37:1","Prisha, Even HaEzer 37:27:1",commentary,"Tur, Even HaEzer","Prisha, Even HaEzer",Halakhah,Halakhah
"Tur, Even HaEzer 37:1","Prisha, Even HaEzer 37:28:1",commentary,"Tur, Even HaEzer","Prisha, Even HaEzer",Halakhah,Halakhah
"Tur, Even HaEzer 37:1","Prisha, Even HaEzer 37:29:1",commentary,"Tur, Even HaEzer","Prisha, Even HaEzer",Halakhah,Halakhah
"Tur, Even HaEzer 37:1","Prisha, Even HaEzer 37:30:1",commentary,"Tur, Even HaEzer","Prisha, Even HaEzer",Halakhah,Halakhah
"Tur, Even HaEzer 37:1","Prisha, Even HaEzer 37:31:1",commentary,"Tur, Even HaEzer","Prisha, Even HaEzer",Halakhah,Halakhah
"Tur, Even HaEzer 37:1","Prisha, Even HaEzer 37:32:1",commentary,"Tur, Even HaEzer","Prisha, Even HaEzer",Halakhah,Halakhah
"Tur, Even HaEzer 37:1","Prisha, Even HaEzer 37:33:1",commentary,"Tur, Even HaEzer","Prisha, Even HaEzer",Halakhah,Halakhah
"Tur, Even HaEzer 37:1","Prisha, Even HaEzer 37:34:1",commentary,"Tur, Even HaEzer","Prisha, Even HaEzer",Halakhah,Halakhah
"Tur, Even HaEzer 37:1","Prisha, Even HaEzer 37:35:1",commentary,"Tur, Even HaEzer","Prisha, Even HaEzer",Halakhah,Halakhah
"Tur, Even HaEzer 37:1","Prisha, Even HaEzer 37:36:1",commentary,"Tur, Even HaEzer","Prisha, Even HaEzer",Halakhah,Halakhah
"Tur, Even HaEzer 37:1","Prisha, Even HaEzer 37:37:1",commentary,"Tur, Even HaEzer","Prisha, Even HaEzer",Halakhah,Halakhah
"Tur, Even HaEzer 37:1","Prisha, Even HaEzer 37:38:1",commentary,"Tur, Even HaEzer","Prisha, Even HaEzer",Halakhah,Halakhah
"Tur, Even HaEzer 37:1","Prisha, Even HaEzer 37:39:1",commentary,"Tur, Even HaEzer","Prisha, Even HaEzer",Halakhah,Halakhah
"Tur, Even HaEzer 37:1","Prisha, Even HaEzer 37:40:1",commentary,"Tur, Even HaEzer","Prisha, Even HaEzer",Halakhah,Halakhah
