started	2026-09-20 17:34:53	1789943693
17:36:08	rereads (the page, the map, the memory, THE_STEPS, sitting 9)	75	0
17:38:34	dump0 (the measurements' first pass)	12	0
17:50:32	measure1 (the second measurement pass)	18	0
18:13:40	ink (the first typed pass, assert_driver)	18	0
18:14:47	ink (the second pass)	18	0
18:17:27	design (the map's section)	0	0
18:33:47	ledger (the rows and the writer)	19	1
18:34:58	ledger (the second run)	18	0
19:06:03	rereads (the tail: the page, the map's Sitting 10, the memory)	32	0
19:10:28	patch (the display layer, ch12_patch_overrides.py)	18	0
19:10:46	ink (the third pass, PATCHED)	19	0
19:19:17	manifest (write_ch12_manifest.py — six claims)	0	0
19:19:17	verify_claims (the six claims)	0	0
19:19:17	labels census --strict	0	0
19:19:17	gates chain (ch12_gates.sh: the seat, verify_text, the ritual, the fold, build_world, the journal gate, the register gate --strict, large_letter, the home gate)	460	0
19:29:18	records --check (write_ch12_records.py)	0	1
19:29:34	records --check (second run)	0	1
19:30:21	records --check (third run, the page trimmed)	2	0
19:30:23	records (write_ch12_records.py — the sheet in one call)	3	0
