  pause   0 at (before the first line) ordinal     0 day         0: 182 computed,  51 not yet, 64 statements raised
  pause   1 at Gen 1:5        ordinal     1 day         0: 182 computed,  51 not yet, 64 statements raised
  pause   2 at Gen 1:8        ordinal     4 day         1: 182 computed,  51 not yet, 64 statements raised
  pause   3 at Gen 1:13       ordinal     7 day         2: 182 computed,  51 not yet, 64 statements raised
  pause   4 at Gen 1:19       ordinal    10 day         3: 182 computed,  51 not yet, 64 statements raised
  pause   5 at Gen 1:23       ordinal    13 day         4: 182 computed,  51 not yet, 64 statements raised
  pause   6 at Gen 1:31       ordinal    19 day         5: 182 computed,  51 not yet, 64 statements raised
  pause   7 at Gen 2:2        ordinal    22 day         6: 182 computed,  51 not yet, 64 statements raised
  pause   8 at Gen 5:3        ordinal   120 day     47495: 182 computed,  51 not yet, 64 statements raised
  pause   9 at Gen 5:5        ordinal   125 day     47495: 183 computed,  50 not yet, 63 statements raised
  pause  10 at Gen 5:6        ordinal   126 day     85835: 183 computed,  50 not yet, 63 statements raised
  pause  11 at Gen 5:8        ordinal   129 day     85835: 183 computed,  50 not yet, 63 statements raised
  pause  12 at Gen 5:9        ordinal   130 day    118715: 183 computed,  50 not yet, 63 statements raised
  pause  13 at Gen 5:11       ordinal   133 day    118715: 183 computed,  50 not yet, 63 statements raised
  pause  14 at Gen 5:12       ordinal   134 day    144275: 183 computed,  50 not yet, 63 statements raised
  pause  15 at Gen 5:14       ordinal   137 day    144275: 183 computed,  50 not yet, 63 statements raised
  pause  16 at Gen 5:15       ordinal   138 day    168005: 183 computed,  50 not yet, 63 statements raised
  pause  17 at Gen 5:17       ordinal   141 day    168005: 183 computed,  50 not yet, 63 statements raised
  pause  18 at Gen 5:18       ordinal   142 day    227183: 183 computed,  50 not yet, 63 statements raised
  pause  19 at Gen 5:20       ordinal   145 day    227183: 183 computed,  50 not yet, 63 statements raised
  pause  20 at Gen 5:21       ordinal   146 day    250913: 183 computed,  50 not yet, 63 statements raised
  pause  21 at Gen 5:23       ordinal   149 day    250913: 183 computed,  50 not yet, 63 statements raised
  pause  22 at Gen 5:25       ordinal   152 day    319241: 183 computed,  50 not yet, 63 statements raised
  pause  23 at Gen 5:27       ordinal   155 day    319241: 183 computed,  50 not yet, 63 statements raised
  pause  24 at Gen 5:28       ordinal   156 day    385709: 183 computed,  50 not yet, 63 statements raised
  pause  25 at Gen 5:31       ordinal   161 day    385709: 183 computed,  50 not yet, 63 statements raised
  pause  26 at Gen 5:32       ordinal   162 day    568319: 183 computed,  50 not yet, 63 statements raised
  pause  27 at Gen 6:3        ordinal   171 day    568319: 187 computed,  46 not yet, 57 statements raised
  pause  28 at Gen 7:1        ordinal   193 day    604898: 187 computed,  46 not yet, 56 statements raised
  pause  29 at Gen 7:11       ordinal   206 day    604905: 186 computed,  47 not yet, 55 statements raised
  pause  30 at Gen 7:17       ordinal   209 day    604945: 186 computed,  47 not yet, 55 statements raised
  pause  31 at Gen 8:4        ordinal   221 day    605052: 187 computed,  46 not yet, 54 statements raised
  pause  32 at Gen 8:5        ordinal   224 day    605125: 187 computed,  46 not yet, 54 statements raised
  pause  33 at Gen 8:6        ordinal   225 day    605165: 187 computed,  46 not yet, 54 statements raised
  pause  34 at Gen 8:10       ordinal   230 day    605172: 187 computed,  46 not yet, 54 statements raised
  pause  35 at Gen 8:12       ordinal   233 day    605179: 187 computed,  46 not yet, 54 statements raised
  pause  36 at Gen 8:13       ordinal   236 day    605213: 188 computed,  45 not yet, 53 statements raised
  pause  37 at Gen 8:14       ordinal   239 day    605269: 189 computed,  44 not yet, 52 statements raised
  pause  38 at Gen 9:29       ordinal   289 day    605269: 189 computed,  44 not yet, 52 statements raised
  pause  39 at Gen 11:10      ordinal   313 day    605643: 190 computed,  43 not yet, 51 statements raised
  pause  40 at Gen 11:12      ordinal   316 day    618377: 190 computed,  43 not yet, 51 statements raised
  pause  41 at Gen 11:14      ordinal   319 day    629327: 190 computed,  43 not yet, 51 statements raised
  pause  42 at Gen 11:16      ordinal   322 day    641753: 190 computed,  43 not yet, 51 statements raised
  pause  43 at Gen 11:18      ordinal   323 day    652703: 190 computed,  43 not yet, 51 statements raised
  pause  44 at Gen 11:20      ordinal   326 day    664391: 190 computed,  43 not yet, 51 statements raised
  pause  45 at Gen 11:22      ordinal   329 day    675341: 190 computed,  43 not yet, 51 statements raised
  pause  46 at Gen 11:24      ordinal   332 day    685937: 190 computed,  43 not yet, 51 statements raised
  pause  47 at Gen 11:26      ordinal   335 day    711497: 192 computed,  41 not yet, 48 statements raised
  pause  48 at Gen 11:32      ordinal   352 day    711497: 192 computed,  41 not yet, 48 statements raised
  pause  49 at Gen 12:4       ordinal   357 day    738887: 193 computed,  40 not yet, 47 statements raised
  pause  50 at Gen 15:1       ordinal   440 day    742547: 193 computed,  40 not yet, 47 statements raised
  pause  51 at Gen 16:1       ordinal   479 day    742547: 193 computed,  40 not yet, 47 statements raised
  pause  52 at Gen 16:16      ordinal   512 day    742931: 194 computed,  39 not yet, 46 statements raised
  pause  53 at Gen 17:1       ordinal   513 day    747653: 194 computed,  39 not yet, 46 statements raised
  pause  54 at Gen 18:1       ordinal   534 day    747874: 194 computed,  39 not yet, 46 statements raised
  pause  55 at Gen 19:15      ordinal   580 day    747875: 194 computed,  39 not yet, 46 statements raised
  pause  56 at Gen 21:2       ordinal   658 day    748228: 195 computed,  38 not yet, 45 statements raised
  pause  57 at Gen 21:4       ordinal   664 day    748235: 195 computed,  38 not yet, 45 statements raised
  pause  58 at Gen 22:1       ordinal   668 day    761555: 195 computed,  38 not yet, 45 statements raised
  pause  59 at Gen 22:4       ordinal   675 day    761557: 195 computed,  38 not yet, 45 statements raised
  pause  60 at Gen 25:7       ordinal   774 day    761557: 195 computed,  38 not yet, 45 statements raised
  pause  61 at Gen 25:17      ordinal   787 day    761557: 195 computed,  38 not yet, 45 statements raised
  pause  62 at Gen 25:20      ordinal   792 day    762647: 195 computed,  38 not yet, 45 statements raised
  pause  63 at Gen 25:26      ordinal   812 day    769937: 197 computed,  36 not yet, 43 statements raised
  pause  64 at Gen 25:29      ordinal   826 day    775427: 197 computed,  36 not yet, 43 statements raised
  pause  65 at Gen 26:34      ordinal   927 day    784547: 198 computed,  35 not yet, 42 statements raised
  pause  66 at Gen 27:1       ordinal   934 day    792959: 198 computed,  35 not yet, 42 statements raised
  pause  67 at Gen 28:9       ordinal   997 day    792959: 198 computed,  35 not yet, 42 statements raised
  pause  68 at Gen 28:10      ordinal  1000 day    798065: 198 computed,  35 not yet, 42 statements raised
  pause  69 at Gen 29:14      ordinal  1043 day    798095: 198 computed,  35 not yet, 42 statements raised
  pause  70 at Gen 29:20      ordinal  1057 day    800663: 199 computed,  34 not yet, 41 statements raised
  pause  71 at Gen 29:28      ordinal  1080 day    800670: 199 computed,  34 not yet, 41 statements raised
  pause  72 at Gen 30:25      ordinal  1207 day    803208: 199 computed,  34 not yet, 41 statements raised
  pause  73 at Gen 31:17      ordinal  1253 day    805422: 199 computed,  34 not yet, 41 statements raised
  pause  74 at Gen 31:22      ordinal  1264 day    805424: 199 computed,  34 not yet, 40 statements raised
  pause  75 at Gen 32:1       ordinal  1323 day    805429: 199 computed,  34 not yet, 40 statements raised
  pause  76 at Gen 32:14      ordinal  1334 day    805430: 199 computed,  34 not yet, 40 statements raised
  pause  77 at Gen 32:32      ordinal  1349 day    805431: 199 computed,  34 not yet, 40 statements raised
  pause  78 at Gen 33:17      ordinal  1375 day    805432: 199 computed,  34 not yet, 40 statements raised
  pause  79 at Gen 33:18      ordinal  1382 day    805963: 199 computed,  34 not yet, 40 statements raised
  pause  80 at Gen 35:6       ordinal  1438 day    805964: 199 computed,  34 not yet, 40 statements raised
  pause  81 at Gen 35:16      ordinal  1471 day    806141: 199 computed,  34 not yet, 40 statements raised
  pause  82 at Gen 35:27      ordinal  1494 day    806142: 200 computed,  33 not yet, 39 statements raised
  pause  83 at Gen 35:28      ordinal  1497 day    806142: 200 computed,  33 not yet, 39 statements raised
  pause  84 at Gen 37:2       ordinal  1539 day    809399: 201 computed,  32 not yet, 38 statements raised
  pause  85 at Gen 40:5       ordinal  1654 day    813411: 201 computed,  32 not yet, 38 statements raised
  pause  86 at Gen 40:20      ordinal  1675 day    813413: 201 computed,  32 not yet, 38 statements raised
  pause  87 at Gen 41:1       ordinal  1686 day    814151: 201 computed,  32 not yet, 38 statements raised
  pause  88 at Gen 41:46      ordinal  1716 day    814151: 202 computed,  31 not yet, 37 statements raised
  pause  89 at Gen 41:53      ordinal  1735 day    816689: 202 computed,  31 not yet, 37 statements raised
  pause  90 at Gen 42:18      ordinal  1766 day    816691: 202 computed,  31 not yet, 37 statements raised
  pause  91 at Gen 45:5       ordinal  1864 day    817427: 203 computed,  30 not yet, 36 statements raised
  pause  92 at Gen 46:1       ordinal  1898 day    817427: 203 computed,  30 not yet, 36 statements raised
  pause  93 at Gen 47:9       ordinal  1936 day    817427: 203 computed,  30 not yet, 35 statements raised
  pause  94 at Gen 47:28      ordinal  1972 day    823625: 203 computed,  30 not yet, 35 statements raised
  pause  95 at Gen 50:3       ordinal  2006 day    823665: 203 computed,  30 not yet, 35 statements raised
  pause  96 at Gen 50:4       ordinal  2009 day    823695: 203 computed,  30 not yet, 35 statements raised
  pause  97 at Gen 50:10      ordinal  2017 day    823696: 203 computed,  30 not yet, 35 statements raised
  pause  98 at Gen 50:14      ordinal  2029 day    823703: 203 computed,  30 not yet, 34 statements raised
  pause  99 at Gen 50:26      ordinal  2054 day    823703: 203 computed,  30 not yet, 34 statements raised
  pause 100 at Exod 2:2       ordinal  2076 day    865071: 210 computed,  25 not yet, 32 statements raised
  pause 101 at Exod 2:3       ordinal  2085 day    865159: 211 computed,  24 not yet, 30 statements raised
  pause 102 at Exod 7:7       ordinal  2145 day    894137: 212 computed,  23 not yet, 29 statements raised
  pause 103 at Exod 7:25      ordinal  2153 day    894144: 212 computed,  23 not yet, 29 statements raised
  pause 104 at Exod 8:6       ordinal  2156 day    894145: 212 computed,  23 not yet, 29 statements raised
  pause 105 at Exod 8:19      ordinal  2166 day    894146: 212 computed,  23 not yet, 29 statements raised
  pause 106 at Exod 9:5       ordinal  2174 day    894147: 212 computed,  23 not yet, 29 statements raised
  pause 107 at Exod 9:18      ordinal  2183 day    894148: 212 computed,  23 not yet, 29 statements raised
  pause 108 at Exod 10:4      ordinal  2193 day    894149: 212 computed,  23 not yet, 29 statements raised
  pause 109 at Exod 10:22     ordinal  2202 day    894152: 212 computed,  23 not yet, 29 statements raised
  pause 110 at Exod 12:2      ordinal  2211 day    894314: 216 computed,  19 not yet, 24 statements raised
  pause 111 at Exod 12:3      ordinal  2212 day    894323: 216 computed,  19 not yet, 24 statements raised
  pause 112 at Exod 12:6      ordinal  2213 day    894327: 216 computed,  19 not yet, 24 statements raised
  pause 113 at Exod 12:29     ordinal  2214 day    894328: 216 computed,  19 not yet, 24 statements raised
  pause 114 at Exod 12:41     ordinal  2227 day    894328: 216 computed,  19 not yet, 24 statements raised
  pause 115 at Exod 14:21     ordinal  2246 day    894334: 216 computed,  19 not yet, 24 statements raised
  pause 116 at Exod 15:22     ordinal  2260 day    894337: 216 computed,  19 not yet, 24 statements raised
  pause 117 at Exod 16:1      ordinal  2277 day    894358: 216 computed,  19 not yet, 24 statements raised
  pause 118 at Exod 16:13     ordinal  2282 day    894359: 217 computed,  18 not yet, 23 statements raised
  pause 119 at Exod 19:1      ordinal  2319 day    894373: 218 computed,  17 not yet, 22 statements raised
  pause 120 at Exod 19:3      ordinal  2322 day    894374: 218 computed,  17 not yet, 22 statements raised
  pause 121 at Exod 19:12     ordinal  2331 day    894375: 218 computed,  17 not yet, 22 statements raised
  pause 122 at Exod 19:14     ordinal  2336 day    894376: 218 computed,  17 not yet, 22 statements raised
  pause 123 at Exod 19:16     ordinal  2337 day    894379: 219 computed,  16 not yet, 20 statements raised
  pause 124 at Exod 24:18     ordinal  2356 day    894379: 220 computed,  15 not yet, 19 statements raised
  pause 125 at Exod 32:19     ordinal  2372 day    894419: 221 computed,  14 not yet, 18 statements raised
  pause 126 at Exod 32:30     ordinal  2380 day    894420: 221 computed,  14 not yet, 18 statements raised
  pause 127 at Exod 34:4      ordinal  2387 day    894460: 221 computed,  14 not yet, 18 statements raised
  pause 128 at Exod 40:17     ordinal  2458 day    894698: 222 computed,  13 not yet, 17 statements raised
  pause 129 at Lev 8:2        ordinal  2496 day    894698: 222 computed,  13 not yet, 17 statements raised
  pause 130 at Lev 9:1        ordinal  2541 day    894698: 222 computed,  13 not yet, 17 statements raised
  pause 131 at Num 1:1        ordinal  2593 day    894728: 223 computed,  12 not yet, 16 statements raised
  pause 132 at Num 5:1        ordinal  2657 day    894728: 223 computed,  12 not yet, 15 statements raised
  pause 133 at Num 7:1        ordinal  2663 day    894728: 223 computed,  12 not yet, 15 statements raised
  pause 134 at Num 7:12       ordinal  2686 day    894728: 223 computed,  12 not yet, 15 statements raised
  pause 135 at Num 7:18       ordinal  2687 day    894728: 223 computed,  12 not yet, 15 statements raised
  pause 136 at Num 7:24       ordinal  2688 day    894728: 223 computed,  12 not yet, 15 statements raised
  pause 137 at Num 7:30       ordinal  2689 day    894728: 223 computed,  12 not yet, 15 statements raised
  pause 138 at Num 7:36       ordinal  2690 day    894728: 223 computed,  12 not yet, 15 statements raised
  pause 139 at Num 7:42       ordinal  2691 day    894728: 223 computed,  12 not yet, 15 statements raised
  pause 140 at Num 7:48       ordinal  2692 day    894728: 223 computed,  12 not yet, 15 statements raised
  pause 141 at Num 7:54       ordinal  2693 day    894728: 223 computed,  12 not yet, 15 statements raised
  pause 142 at Num 7:60       ordinal  2694 day    894728: 223 computed,  12 not yet, 15 statements raised
  pause 143 at Num 7:66       ordinal  2695 day    894728: 223 computed,  12 not yet, 15 statements raised
  pause 144 at Num 7:72       ordinal  2696 day    894728: 223 computed,  12 not yet, 15 statements raised
  pause 145 at Num 7:78       ordinal  2697 day    894728: 223 computed,  12 not yet, 15 statements raised
  pause 146 at Num 9:5        ordinal  2714 day    894728: 223 computed,  12 not yet, 15 statements raised
  pause 147 at Num 10:11      ordinal  2730 day    894747: 224 computed,  11 not yet, 14 statements raised
  pause 148 at Num 11:1       ordinal  2742 day    894750: 225 computed,  10 not yet, 13 statements raised
  pause 149 at Num 11:35      ordinal  2757 day    894778: 226 computed,   9 not yet, 12 statements raised
  pause 150 at Num 12:16      ordinal  2769 day    894785: 227 computed,   8 not yet, 11 statements raised
  pause 151 at Num 13:25      ordinal  2781 day    894824: 230 computed,   5 not yet,  8 statements raised
  pause 152 at Num 20:1       ordinal  2903 day    908570: 230 computed,   5 not yet,  8 statements raised
  pause 153 at Num 20:22      ordinal  2928 day    908659: 230 computed,   5 not yet,  8 statements raised
  pause 154 at Num 20:28      ordinal  2935 day    908688: 230 computed,   5 not yet,  8 statements raised
  pause 155 at Num 21:4       ordinal  2955 day    908718: 232 computed,   3 not yet,  6 statements raised
  pause 156 at Num 25:19      ordinal  3091 day    908718: 232 computed,   3 not yet,  6 statements raised
  pause 157 at Num 27:1       ordinal  3222 day    908718: 234 computed,   1 not yet,  4 statements raised
  pause 158 at Deut 1:1       ordinal  3474 day    908865: 235 computed,   0 not yet,  3 statements raised
  pause 159 at Deut 1:6       ordinal  3477 day    908865: 235 computed,   0 not yet,  3 statements raised
  pause 160 at Deut 1:9       ordinal  3481 day    908865: 235 computed,   0 not yet,  3 statements raised
  pause 161 at Deut 2:2       ordinal  3484 day    908865: 235 computed,   0 not yet,  3 statements raised
  pause 162 at Deut 4:1       ordinal  3510 day    908865: 235 computed,   0 not yet,  2 statements raised
  pause 163 at Deut 4:10      ordinal  3513 day    908865: 235 computed,   0 not yet,  1 statements raised
  pause 164 at Deut 4:13      ordinal  3518 day    908865: 235 computed,   0 not yet,  1 statements raised
  pause 165 at Deut 4:25      ordinal  3521 day    908865: 235 computed,   0 not yet,  1 statements raised
  pause 166 at Deut 5:23      ordinal  3526 day    908865: 235 computed,   0 not yet,  1 statements raised
  pause 167 at Deut 5:32      ordinal  3533 day    908865: 235 computed,   0 not yet,  0 statements raised
  pause 168 at Deut 6:16      ordinal  3537 day    908865: 235 computed,   0 not yet,  0 statements raised
THE FALLS: 235 checkpoints over 169 pauses in 1372 s; at pause 0 (before any line) 49; the last fall at pause 168 (Deut 6:16); NOT YET at the end 0; the table /Users/Shared/TorahSim/World/step9/checkpoint_positions.yaml
