import time: self [us] | cumulative | imported package
import time:        99 |         99 |   _io
import time:        16 |         16 |   marshal
import time:       114 |        114 |   posix
import time:       297 |        524 | _frozen_importlib_external
import time:       406 |        406 |   time
import time:       103 |        509 | zipimport
import time:        20 |         20 |     _codecs
import time:       261 |        280 |   codecs
import time:       224 |        224 |   encodings.aliases
import time:       318 |        821 | encodings
import time:       103 |        103 | encodings.utf_8
import time:        42 |         42 | _signal
import time:        16 |         16 |       _abc
import time:        78 |         93 |     abc
import time:        21 |         21 |       _stat
import time:        46 |         67 |     stat
import time:       444 |        444 |     _collections_abc
import time:        24 |         24 |       errno
import time:        42 |         42 |       genericpath
import time:        71 |        135 |     posixpath
import time:       259 |        995 |   os
import time:        39 |         39 |   _sitebuiltins
import time:        18 |         18 |           _types
import time:       127 |        144 |         types
import time:       615 |        758 |       enum
import time:        28 |         28 |         _sre
import time:       151 |        151 |           re._constants
import time:       169 |        319 |         re._parser
import time:        72 |         72 |         re._casefix
import time:       187 |        604 |       re._compiler
import time:        47 |         47 |           itertools
import time:        57 |         57 |           keyword
import time:        29 |         29 |             _operator
import time:       129 |        158 |           operator
import time:        86 |         86 |           reprlib
import time:        23 |         23 |           _collections
import time:       347 |        715 |         collections
import time:        23 |         23 |         _functools
import time:       311 |       1048 |       functools
import time:        77 |         77 |       copyreg
import time:       252 |       2738 |     re
import time:       360 |       3098 |   sitecustomize
import time:       172 |        172 |   usercustomize
import time:       237 |       4539 | site
import time:       303 |        303 | linecache
import time:       102 |        102 |   io
import time:       302 |        302 |         _json
import time:       167 |        468 |       json.scanner
import time:       216 |        684 |     json.decoder
import time:       178 |        178 |     json.encoder
import time:       110 |        970 |   json
import time:       278 |        278 |   contextlib
import time:        17 |         17 |         _datetime
import time:        71 |         88 |       datetime
import time:       875 |        875 |       _sqlite3
import time:        12 |         12 |           _contextvars
import time:       179 |        191 |         _py_warnings
import time:        92 |        283 |       warnings
import time:       142 |       1386 |     sqlite3.dbapi2
import time:        86 |       1471 |   sqlite3
import time:       121 |        121 |     yaml.error
import time:       147 |        147 |     yaml.tokens
import time:       139 |        139 |     yaml.events
import time:        76 |         76 |     yaml.nodes
import time:      1840 |       1840 |       yaml.reader
import time:       168 |        168 |       yaml.scanner
import time:       112 |        112 |       yaml.parser
import time:       479 |        479 |       yaml.composer
import time:       313 |        313 |             _struct
import time:        72 |        385 |           struct
import time:       303 |        303 |           binascii
import time:       147 |        834 |         base64
import time:       403 |       1236 |       yaml.constructor
import time:       596 |        596 |       yaml.resolver
import time:       163 |       4592 |     yaml.loader
import time:       176 |        176 |       yaml.emitter
import time:        80 |         80 |       yaml.serializer
import time:       131 |        131 |       yaml.representer
import time:       128 |        514 |     yaml.dumper
import time:       421 |        421 |       yaml._yaml
import time:       159 |        579 |     yaml.cyaml
import time:       177 |       6341 |   yaml
import time:       296 |        296 |       _bisect
import time:        81 |        377 |     bisect
import time:    358578 |     358578 |     effects_layer
import time:    700281 |     700281 |     events_layer
import time:     36183 |    1095417 |   world_engine
import time:       164 |        164 |       fnmatch
import time:       272 |        435 |     glob
import time:        40 |         40 |         _locale
import time:       423 |        462 |       locale
import time:       295 |        295 |       signal
import time:       110 |        110 |         _weakrefset
import time:       312 |        422 |       threading
import time:       488 |        488 |       fcntl
import time:        62 |         62 |       msvcrt
import time:       384 |        384 |       _posixsubprocess
import time:       395 |        395 |       select
import time:       472 |        472 |         math
import time:       325 |        797 |       selectors
import time:       374 |       3674 |     subprocess
import time:       403 |        403 |         zlib
import time:        87 |         87 |             compression
import time:       122 |        209 |           compression._common
import time:       149 |        149 |           compression._common._streams
import time:       370 |        370 |           _bz2
import time:       132 |        858 |         bz2
import time:       582 |        582 |           _lzma
import time:       121 |        702 |         lzma
import time:       623 |        623 |           _zstd
import time:       140 |        140 |           compression.zstd._zstdfile
import time:       366 |       1128 |         compression.zstd
import time:       351 |       3440 |       shutil
import time:       457 |        457 |         _random
import time:       224 |        681 |       random
import time:       205 |        205 |       weakref
import time:       223 |       4547 |     tempfile
import time:      1884 |       1884 |       _hashlib
import time:       496 |        496 |       _blake2
import time:       137 |       2517 |     hashlib
import time:       115 |        115 |     worldledger
import time:       521 |      11806 |   world_journal
import time:      1425 |       1425 |         _ast
import time:       242 |       1667 |       ast
import time:        79 |       1746 |     compile_guards
import time:      7465 |       7465 |     cold_run_decalogue
import time:      6227 |       6227 |         cold_run_vayikra5
import time:     16687 |      16687 |           cold_run_pesach
import time:    115404 |     132090 |         cold_run_offerings
import time:    157348 |     157348 |         cold_run_minchah
import time:     37816 |      37816 |         cold_run_tzav
import time:    601549 |     935029 |       cold_run_chatat
import time:     90074 |      90074 |               cold_run_tochacha
import time:    184272 |     274345 |             cold_run_yovel
import time:    348887 |     623232 |           cold_run_holiness
import time:    346709 |     346709 |             cold_run_clocks
import time:     11296 |      11296 |             cold_run_shemini
import time:   1970561 |    2328565 |           cold_run_sanctions
import time:    647248 |    3599043 |         cold_run_holiness_b
import time:   1533856 |    1533856 |         cold_run_ordinances
import time:   1262841 |    6395740 |       cold_run_priesthood
import time:      4182 |       4182 |       cold_run_yoma
import time:      3575 |       3575 |         cold_run_lev24
import time:     27039 |      30613 |       cold_run_mishpatim
import time:   7044529 |    7044529 |       cold_run_sanctuary_build
import time:   4378172 |    4378172 |       cold_run_vestments
import time:     12435 |      12435 |         cold_run_calendar
import time:     36379 |      48814 |       cold_run_moadim
import time:    237673 |     237673 |       cold_run_metzora
import time:      3554 |       3554 |       cold_run_guardians
import time:   5287694 |   24365995 |     cold_run_incense_shekel
import time:   1219971 |    1219971 |       cold_run_shemini_day
import time:   5443683 |    6663654 |     cold_run_erection
import time:   1730782 |   32769640 |   cold_run_pre_sinai
import time:    101871 |     101871 |     cold_run_temurah
import time:      4993 |       4993 |       cold_run_mishpatim_2
import time:   2882981 |    2887973 |     cold_run_family
import time:   1872953 |    4862797 |   cold_run_primeval
import time:    610503 |     610503 |   cold_run_mamre
import time:     74625 |      74625 |     cold_run_mishpatim_3
import time:   9013808 |    9088433 |   cold_run_joseph
import time:    869373 |     869373 |   cold_run_exodus_story
import time:      7937 |       7937 |   cold_run_negaim
import time:     15894 |      15894 |   cold_run_pesach_sheni
import time:     15821 |      15821 |   cold_run_mekoshesh
import time:     37633 |      37633 |   cold_run_zelophehad
import time:       388 |        388 |       numbers
import time:       999 |       1386 |     fractions
import time:     59393 |      60778 |   cold_run_bamidbar
import time:    668214 |     668214 |     cold_run_chukat
import time:   2313881 |    2982094 |   cold_run_naso
import time:   3973724 |    3973724 |   cold_run_beha
import time:    640449 |     640449 |     cold_run_korach
import time:   6097300 |    6737749 |   cold_run_shelach
import time:    551992 |     551992 |   cold_run_balak
import time:   3157694 |    3157694 |   cold_run_second_census
import time:    841095 |     841095 |   cold_run_musafim
import time:   1101848 |    1101848 |   cold_run_vows
import time:   1796330 |    1796330 |   cold_run_midian
import time:   2752170 |    2752170 |   cold_run_gad_reuben
import time:   2824955 |    2824955 |   cold_run_journeys
import time:      1031 |       1031 |     unicodedata
import time:   3395516 |    3396547 |   cold_run_borders
import time:   3964856 |    3964856 |   cold_run_refuge
import time:   5971937 |    5971937 |   cold_run_opening_speech
import time:       869 |        869 |         _heapq
import time:       362 |       1231 |       heapq
import time:       800 |       2030 |     difflib
import time:   8430372 |    8432402 |   cold_run_obey_horeb
import time:   6631898 |    6631898 |   cold_run_covenant_at_horeb
import time:   8781728 |    8781728 |   cold_run_hear_o_israel
import time:   7801566 |    7801566 |   cold_run_seven_nations
import time:  14346290 |   14346290 |   cold_run_good_land
import time:      2386 |  135504439 | cold_run_sequence
