THE POSITIONS FULL: the tape's lines before the newest runner's moved
  pause   0 at (before the first line) ordinal     0 day         0: 198 computed,  53 not yet, 68 statements raised
  pause   1 at Gen 1:5        ordinal     1 day         0: 198 computed,  53 not yet, 68 statements raised
  pause   2 at Gen 1:8        ordinal     4 day         1: 198 computed,  53 not yet, 68 statements raised
  pause   3 at Gen 1:13       ordinal     7 day         2: 198 computed,  53 not yet, 68 statements raised
  pause   4 at Gen 1:19       ordinal    10 day         3: 198 computed,  53 not yet, 68 statements raised
  pause   5 at Gen 1:23       ordinal    13 day         4: 198 computed,  53 not yet, 68 statements raised
  pause   6 at Gen 1:31       ordinal    19 day         5: 198 computed,  53 not yet, 68 statements raised
  pause   7 at Gen 2:2        ordinal    22 day         6: 198 computed,  53 not yet, 68 statements raised
  pause   8 at Gen 5:3        ordinal   120 day     47495: 198 computed,  53 not yet, 68 statements raised
  pause   9 at Gen 5:5        ordinal   125 day     47495: 199 computed,  52 not yet, 67 statements raised
  pause  10 at Gen 5:6        ordinal   126 day     85835: 199 computed,  52 not yet, 67 statements raised
  pause  11 at Gen 5:8        ordinal   129 day     85835: 199 computed,  52 not yet, 67 statements raised
  pause  12 at Gen 5:9        ordinal   130 day    118715: 199 computed,  52 not yet, 67 statements raised
  pause  13 at Gen 5:11       ordinal   133 day    118715: 199 computed,  52 not yet, 67 statements raised
  pause  14 at Gen 5:12       ordinal   134 day    144275: 199 computed,  52 not yet, 67 statements raised
  pause  15 at Gen 5:14       ordinal   137 day    144275: 199 computed,  52 not yet, 67 statements raised
  pause  16 at Gen 5:15       ordinal   138 day    168005: 199 computed,  52 not yet, 67 statements raised
  pause  17 at Gen 5:17       ordinal   141 day    168005: 199 computed,  52 not yet, 67 statements raised
  pause  18 at Gen 5:18       ordinal   142 day    227183: 199 computed,  52 not yet, 67 statements raised
  pause  19 at Gen 5:20       ordinal   145 day    227183: 199 computed,  52 not yet, 67 statements raised
  pause  20 at Gen 5:21       ordinal   146 day    250913: 199 computed,  52 not yet, 67 statements raised
  pause  21 at Gen 5:23       ordinal   149 day    250913: 199 computed,  52 not yet, 67 statements raised
  pause  22 at Gen 5:25       ordinal   152 day    319241: 199 computed,  52 not yet, 67 statements raised
  pause  23 at Gen 5:27       ordinal   155 day    319241: 199 computed,  52 not yet, 67 statements raised
  pause  24 at Gen 5:28       ordinal   156 day    385709: 199 computed,  52 not yet, 67 statements raised
  pause  25 at Gen 5:31       ordinal   161 day    385709: 199 computed,  52 not yet, 67 statements raised
  pause  26 at Gen 5:32       ordinal   162 day    568319: 199 computed,  52 not yet, 67 statements raised
  pause  27 at Gen 6:3        ordinal   171 day    568319: 203 computed,  48 not yet, 61 statements raised
  pause  28 at Gen 7:1        ordinal   193 day    604898: 203 computed,  48 not yet, 60 statements raised
  pause  29 at Gen 7:11       ordinal   206 day    604905: 202 computed,  49 not yet, 59 statements raised
  pause  30 at Gen 7:17       ordinal   209 day    604945: 202 computed,  49 not yet, 59 statements raised
  pause  31 at Gen 8:4        ordinal   221 day    605052: 203 computed,  48 not yet, 58 statements raised
  pause  32 at Gen 8:5        ordinal   224 day    605125: 203 computed,  48 not yet, 58 statements raised
  pause  33 at Gen 8:6        ordinal   225 day    605165: 203 computed,  48 not yet, 58 statements raised
  pause  34 at Gen 8:10       ordinal   230 day    605172: 203 computed,  48 not yet, 58 statements raised
  pause  35 at Gen 8:12       ordinal   233 day    605179: 203 computed,  48 not yet, 58 statements raised
  pause  36 at Gen 8:13       ordinal   236 day    605213: 204 computed,  47 not yet, 57 statements raised
  pause  37 at Gen 8:14       ordinal   239 day    605269: 205 computed,  46 not yet, 56 statements raised
  pause  38 at Gen 9:29       ordinal   289 day    605269: 205 computed,  46 not yet, 56 statements raised
  pause  39 at Gen 11:10      ordinal   313 day    605643: 206 computed,  45 not yet, 55 statements raised
  pause  40 at Gen 11:12      ordinal   316 day    618377: 206 computed,  45 not yet, 55 statements raised
  pause  41 at Gen 11:14      ordinal   319 day    629327: 206 computed,  45 not yet, 55 statements raised
  pause  42 at Gen 11:16      ordinal   322 day    641753: 206 computed,  45 not yet, 55 statements raised
  pause  43 at Gen 11:18      ordinal   323 day    652703: 206 computed,  45 not yet, 55 statements raised
  pause  44 at Gen 11:20      ordinal   326 day    664391: 206 computed,  45 not yet, 55 statements raised
  pause  45 at Gen 11:22      ordinal   329 day    675341: 206 computed,  45 not yet, 55 statements raised
  pause  46 at Gen 11:24      ordinal   332 day    685937: 206 computed,  45 not yet, 55 statements raised
  pause  47 at Gen 11:26      ordinal   335 day    711497: 208 computed,  43 not yet, 52 statements raised
  pause  48 at Gen 11:32      ordinal   352 day    711497: 208 computed,  43 not yet, 52 statements raised
  pause  49 at Gen 12:4       ordinal   357 day    738887: 209 computed,  42 not yet, 51 statements raised
  pause  50 at Gen 15:1       ordinal   440 day    742547: 209 computed,  42 not yet, 51 statements raised
  pause  51 at Gen 16:1       ordinal   479 day    742547: 209 computed,  42 not yet, 51 statements raised
  pause  52 at Gen 16:16      ordinal   512 day    742931: 210 computed,  41 not yet, 50 statements raised
  pause  53 at Gen 17:1       ordinal   513 day    747653: 210 computed,  41 not yet, 50 statements raised
  pause  54 at Gen 18:1       ordinal   534 day    747874: 210 computed,  41 not yet, 50 statements raised
  pause  55 at Gen 19:15      ordinal   580 day    747875: 210 computed,  41 not yet, 50 statements raised
  pause  56 at Gen 21:2       ordinal   658 day    748228: 211 computed,  40 not yet, 49 statements raised
  pause  57 at Gen 21:4       ordinal   664 day    748235: 211 computed,  40 not yet, 49 statements raised
  pause  58 at Gen 22:1       ordinal   668 day    761555: 211 computed,  40 not yet, 49 statements raised
  pause  59 at Gen 22:4       ordinal   675 day    761557: 211 computed,  40 not yet, 49 statements raised
  pause  60 at Gen 25:7       ordinal   774 day    761557: 211 computed,  40 not yet, 49 statements raised
  pause  61 at Gen 25:17      ordinal   787 day    761557: 211 computed,  40 not yet, 49 statements raised
  pause  62 at Gen 25:20      ordinal   792 day    762647: 211 computed,  40 not yet, 49 statements raised
  pause  63 at Gen 25:26      ordinal   812 day    769937: 213 computed,  38 not yet, 47 statements raised
  pause  64 at Gen 25:29      ordinal   826 day    775427: 213 computed,  38 not yet, 47 statements raised
  pause  65 at Gen 26:34      ordinal   927 day    784547: 214 computed,  37 not yet, 46 statements raised
  pause  66 at Gen 27:1       ordinal   934 day    792959: 214 computed,  37 not yet, 46 statements raised
  pause  67 at Gen 28:9       ordinal   997 day    792959: 214 computed,  37 not yet, 46 statements raised
  pause  68 at Gen 28:10      ordinal  1000 day    798065: 214 computed,  37 not yet, 46 statements raised
  pause  69 at Gen 29:14      ordinal  1043 day    798095: 214 computed,  37 not yet, 46 statements raised
  pause  70 at Gen 29:20      ordinal  1057 day    800663: 215 computed,  36 not yet, 45 statements raised
  pause  71 at Gen 29:28      ordinal  1080 day    800670: 215 computed,  36 not yet, 45 statements raised
  pause  72 at Gen 30:25      ordinal  1207 day    803208: 215 computed,  36 not yet, 45 statements raised
  pause  73 at Gen 31:17      ordinal  1253 day    805422: 215 computed,  36 not yet, 45 statements raised
  pause  74 at Gen 31:22      ordinal  1264 day    805424: 215 computed,  36 not yet, 44 statements raised
  pause  75 at Gen 32:1       ordinal  1323 day    805429: 215 computed,  36 not yet, 44 statements raised
  pause  76 at Gen 32:14      ordinal  1334 day    805430: 215 computed,  36 not yet, 44 statements raised
  pause  77 at Gen 32:32      ordinal  1349 day    805431: 215 computed,  36 not yet, 44 statements raised
