parasha	lev_range_approx	sifra	tractate	daf	talmud_full	connection
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Section 1 13	Yoma	53a	Yoma 53a:18	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 1 5	Zevachim	18b	Zevachim 18b:13	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 10 7	Chullin	101a	Chullin 101a:7-9	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 10 4	Meilah	10a	Meilah 10a:6	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 10 4	Menachot	12b	Menachot 12b:2	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 10 3	Menachot	20a	Menachot 20a:11	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 10 4	Menachot	21b	Menachot 21b:4	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 10 4	Menachot	26b	Menachot 26b:13	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 10 9	Menachot	57b	Menachot 57b:12	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 10 5	Niddah	40b	Niddah 40b:2-3	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 10 10	Sanhedrin	82b	Sanhedrin 82b:18	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 10 4	Shevuot	11a	Shevuot 11a:5	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 10 4	Temurah	13a	Temurah 13a:11-12	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 10 4	Temurah	6b	Temurah 6b:16	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 10 4	Yoma	63b	Yoma 63b:1	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 10 5-6	Zevachim	106a	Zevachim 106a:9-10	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 10 7	Zevachim	106a	Zevachim 106a:11-12	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 10 11	Zevachim	108a	Zevachim 108a:18-20	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 10 7	Zevachim	108a	Zevachim 108a:6	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 10 2	Zevachim	108b	Zevachim 108b:5-6	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 10 3-4	Zevachim	109a	Zevachim 109a:3-4	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 10 8	Zevachim	109b	Zevachim 109b:17	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 10 10	Zevachim	112b	Zevachim 112b:7	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 10 9	Zevachim	112b	Zevachim 112b:6	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 10 4	Zevachim	115a	Zevachim 115a:9	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 10 10	Zevachim	115b	Zevachim 115b:4-5	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 10 9	Zevachim	115b	Zevachim 115b:2-3	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 10 5	Zevachim	26a	Zevachim 26a:22	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 10 5	Zevachim	27b	Zevachim 27b:4	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 10 4	Zevachim	42a	Zevachim 42a:4	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 10 4	Zevachim	43a	Zevachim 43a:6	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 10 7	Zevachim	43b	Zevachim 43b	unknown
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 10 4	Zevachim	44a	Zevachim 44a:11	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 10 7	Zevachim	83b	Zevachim 83b:10-11	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 10 5	Zevachim	84a	Zevachim 84a:6	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 10 7	Zevachim	84b	Zevachim 84b:11-85a:1	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 10 9	Zevachim	85b	Zevachim 85b:15	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 11 3	Chullin	84a	Chullin 84a:18	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 11 7	Chullin	85a	Chullin 85a:7	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 11 5	Chullin	86b	Chullin 86b:7	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 11 8	Chullin	87a	Chullin 87a:4	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 11 10	Chullin	87b	Chullin 87b:1-2	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 11 10	Chullin	88a	Chullin 88a:4	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 11 11	Chullin	88a	Chullin 88a:10-88b:1	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 11 12	Chullin	88a	Chullin 88a:7	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 11 4	Keritot	21a	Keritot 21a:3	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 11 11	Menachot	25b	Menachot 25b:13	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 11 11	Niddah	40b	Niddah 40b:6-41a:1	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 11 10	Sanhedrin	24b	Sanhedrin 24b:17	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 11 2	Sotah	43b	Sotah 43b:3	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 11 11	Temurah	5b	Temurah 5b:18	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 11 11	Yoma	42b	Yoma 42b:4-5	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 11 11	Zevachim	27b	Zevachim 27b:6-7	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 11 11	Zevachim	39b	Zevachim 39b:1-2	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 11 11	Zevachim	84a	Zevachim 84a:14-84b:1	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 12 5	Chullin	100b	Chullin 100b:4-5	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 12 7	Chullin	100b	Chullin 100b:5	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 12 5	Niddah	42b	Niddah 42b:15-16	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 12 7	Pesachim	35b	Pesachim 35b:19	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 12 9	Zevachim	50b	Zevachim 50b:13-51a:1	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 12 10	Zevachim	69a	Zevachim 69a:10-11	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 12 12	Zevachim	69a	Zevachim 69a:13	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 12 10	Zevachim	69b	Zevachim 69b:8-9	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 12 7	Zevachim	69b	Zevachim 69b:8-9	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 12 9	Zevachim	69b	Zevachim 69b:2-4	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 13 13	Avodah Zarah	27b	Avodah Zarah 27b:11	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 13 12	Avodah Zarah	3a	Avodah Zarah 3a:2	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 13 12	Bava Kamma	38a	Bava Kamma 38a:11	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 13 3	Chullin	63b	Chullin 63b:8-9	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 13 2	Ketubot	47b	Ketubot 47b:11	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 13 13	Sanhedrin	74a	Sanhedrin 74a:13-14	mesorat hashas
Acharei Mot	Lev 16–18 (approx)	Sifra, Acharei Mot, Chapter 13 3	Sanhedrin	82a	Sanhedrin 82a:3	mesorat hashas
